indice_tiempo,canasta_basica_alimentaria,inversa_coeficiente_engel,canasta_basica_total,linea_indigencia,linea_pobreza
2019-07-01,4133.91,2.5,10334.77,12773.78,31934.44
2019-08-01,4290.72,2.49,10683.89,13258.32,33013.22
2019-09-01,4502.88,2.5,11257.2,13913.9,34784.75
2019-10-01,4596.2,2.51,11536.46,14202.26,35647.66
2019-11-01,4886.34,2.49,12166.99,15098.79,37596.0
2019-12-01,5043.41,2.5,12608.52,15584.14,38960.33
2020-01-01,5332.94,2.45,13065.7,16478.78,40373.01
2020-02-01,5432.32,2.43,13200.54,16785.87,40789.67
2020-03-01,5615.94,2.42,13590.57,17353.25,41994.86
2020-04-01,5791.79,2.38,13784.46,17896.63,42593.98
2020-05-01,5785.01,2.41,13941.87,17875.68,43080.38
2020-06-01,5834.66,2.43,14178.22,18029.1,43810.7
2020-07-01,5929.29,2.43,14408.17,18321.51,44521.25
2020-08-01,6081.69,2.42,14717.69,18792.42,45477.66
2020-09-01,6288.17,2.43,15280.25,19430.45,47215.97
2020-10-01,6702.33,2.41,16152.62,20710.2,49911.6
2020-11-01,6981.61,2.4,16755.86,21573.174899999998,51775.6074
2020-12-01,7340.12,2.39,17542.89,22680.9708,54207.530099999996
2021-01-01,7677.09,2.38,18271.47,23722.2081,56458.842300000004
2021-02-01,7953.14,2.36,18769.41,24575.2,57997.48
2021-03-01,8312.33,2.37,19700.22,25685.0997,60873.6798
2021-04-01,8633.31,2.36,20374.61,26676.9279,62957.5449
2021-05-01,8874.89,2.35,20855.99,27423.41,64445.01
2021-06-01,9195.41,2.34,21517.26,28413.82,66488.33
2021-07-01,9386.04,2.33,21869.47,29002.86,67576.66
2021-08-01,9454.13,2.34,22122.66,29213.26,68359.02
2021-09-01,9713.21,2.35,22826.04,30013.82,70532.46
2021-10-01,10008.2,2.34,23419.19,30925.34,72365.3
2021-11-01,10266.79,2.33,23921.62,31724.38,73917.81
2021-12-01,10667.86,2.31,24642.76,32963.69,76146.13
2022-01-01,11111.27,2.29,25444.81,34333.82,78624.46
2022-02-01,12108.08,2.24,27122.1,37413.97,83807.29
2022-03-01,12900.45,2.25,29026.01,39862.39,89690.37
2022-04-01,13762.77,2.24,30828.6,42526.96,95260.37
2022-05-01,14400.84,2.24,32257.88,44498.6,99676.85
2022-06-01,15056.75,2.24,33727.12,46525.36,104216.8
2022-07-01,16008.28,2.25,36018.63,49465.59,111297.57
2022-08-01,17148.8,2.26,38756.29,52989.79,119756.94
2022-09-01,18359.84,2.26,41493.24,56731.91,128214.11
2022-10-01,20098.92,2.25,45222.57,62105.66,139737.74
2022-11-01,20715.93,2.28,47232.32,64012.22,145947.87
2022-12-01,21743.48,2.27,49357.7,67187.35,152515.29
2023-01-01,23315.04,2.27,52925.14,72043.47,163538.68
2023-02-01,26046.32,2.2,57301.9,80483.13,177062.87
2023-03-01,28388.12,2.18,61886.1,87719.29,191228.05
2023-04-01,30468.76,2.16,65812.52,94148.47,203360.69
2023-05-01,32055.87,2.2,70522.91,99052.64,217915.79
2023-06-01,33730.51,2.23,75219.04,104227.28,232426.83
2023-07-01,36130.15,2.23,80570.23,111642.16,248962.01
2023-08-01,42262.25,2.18,92131.7,130590.35,284686.95
2023-09-01,47858.79,2.16,103372.83,147880.57,319422.04
2023-10-01,51974.93,2.15,111746.1,160602.53,345295.45
2023-11-01,59886.86,2.11,126361.27,185050.4,390456.32
2023-12-01,77889.58,2.06,160452.53,240678.8,495798.32
2024-01-01,92414.67,2.09,193146.66,285561.33,596823.18
2024-02-01,104482.59,2.1399999751154715,223592.74,322851.2,690901.57
2024-03-01,115873.35,2.16,250286.44,358048.65,773385.1
2024-04-01,120726.29,2.2199999685238403,268012.36,373044.24,828158.19
2024-05-01,125235.49,2.2,275518.08,386977.6641,851350.8672
2024-06-01,127287.79,2.22,282578.89,393319.27109999995,873168.7701
2024-07-01,131293.57,2.2200000527487096,291471.7313915858,405697.13,900647.65
2024-08-01,136399.3,2.23,304170.44,421473.83699999994,939886.6596
2024-09-01,138744.31,2.25,312174.7,428719.92,964619.82
2024-10-01,140653.57,2.27,319283.6,434619.5313,986586.3239999999
2024-11-01,142148.73,2.28,324099.1,439239.58,1001466.22
2024-12-01,145408.96,2.28,331532.43,449313.69,1024435.21
2025-01-01,146726.23,2.2799999700121782,334535.8,453384.05,1033715.62
2025-02-01,151491.17,2.2599999722756117,342370.04,468107.72,1057923.42
2025-03-01,160393.45,2.2200000062346685,356073.46,495615.76,1100266.99
